waypoint,filename,latitude,longitude,altitude,timestamp
2,waypoint_002_2026-03-24_13-31-54.jpg,47.3975537,8.5455484,14.993230819702148,67.23544311523438
4,waypoint_004_2026-03-24_13-32-55.jpg,47.3984203,8.5456328,15.001693725585938,125.89505529403688
6,waypoint_006_2026-03-24_13-33-52.jpg,47.3975205,8.5457674,14.990827560424805,184.02994203567505
8,waypoint_008_2026-03-24_13-34-50.jpg,47.3984205,8.5459004,14.99825954437256,242.6626980304718
10,waypoint_010_2026-03-24_13-35-49.jpg,47.3975211,8.5460313,14.988137245178224,301.3197100162506
12,waypoint_012_2026-03-24_13-36-48.jpg,47.3984207,8.5461649,14.986968040466309,360.4454782009125
14,waypoint_014_2026-03-24_13-37-46.jpg,47.3975212,8.5462984,15.003469467163086,419.2052221298218
